@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@attribute stemC1 string
@attribute stemC2 string
@attribute stemC3 {ANY, yag}
@data
ar,ANY,ANY,2,1,2,0,aréis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,2,0,arán,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,2,0,guaré,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,2,0,guarás,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,2,0,guará,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,2,0,guaremos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,2,0,guaréis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,2,0,guarán,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,2,0,caré,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,2,0,carás,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,2,0,cará,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,2,0,caremos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,2,0,caréis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,2,0,carán,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,2,0,garé,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,2,0,garás,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,2,0,gará,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,2,0,garemos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,2,0,garéis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,2,0,garán,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,2,0,zaré,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,2,0,zarás,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,2,0,zará,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,2,0,zaremos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,2,0,zaréis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,2,0,zarán,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,2,0,iaré,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,2,0,iarás,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,2,0,iará,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,2,0,iaremos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,2,0,iaréis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,2,0,iarán,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,2,0,uaré,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,2,0,uarás,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,2,0,uará,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,2,0,uaremos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,2,0,uaréis,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,2,0,uarán,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,0,4,0,aría,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,4,0,arías,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,4,0,aría,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,4,0,aríamos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,4,0,aríais,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,4,0,arían,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,4,0,guaría,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,4,0,guarías,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,4,0,guaría,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,4,0,guaríamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,4,0,guaríais,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,4,0,guarían,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,4,0,caría,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,4,0,carías,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,4,0,caría,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,4,0,caríamos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,4,0,caríais,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,4,0,carían,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,4,0,garía,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,4,0,garías,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,4,0,garía,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,4,0,garíamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,4,0,garíais,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,4,0,garían,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,4,0,zaría,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,4,0,zarías,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,4,0,zaría,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,4,0,zaríamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,4,0,zaríais,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,4,0,zarían,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,4,0,iaría,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,4,0,iarías,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,4,0,iaría,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,4,0,iaríamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,4,0,iaríais,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,4,0,iarían,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,4,0,uaría,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,4,0,uarías,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,4,0,uaría,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,4,0,uaríamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,4,0,uaríais,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,4,0,uarían,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,0,2,a,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,0,2,ad,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,0,2,gua,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,0,2,guad,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,0,2,ca,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,0,2,cad,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,0,2,ga,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,0,2,gad,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,0,2,za,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,0,2,zad,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,0,2,ia,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,0,2,iad,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,0,2,ua,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,0,2,uad,ANY,ANY,ANY,ANY
ar,ANY,ANY,0,0,0,3,ar,ANY,ANY,ANY,ANY
ar,gu,ANY,0,0,0,3,guar,ANY,ANY,ANY,ANY
ar,c,ANY,0,0,0,3,car,ANY,ANY,ANY,ANY
ar,g,ANY,0,0,0,3,gar,ANY,ANY,ANY,ANY
ar,z,ANY,0,0,0,3,zar,ANY,ANY,ANY,ANY
ar,i,ANY,0,0,0,3,iar,ANY,ANY,ANY,ANY
ar,u,ANY,0,0,0,3,uar,ANY,ANY,ANY,ANY
ar,ANY,ANY,0,0,1,3,ado,ANY,ANY,ANY,ANY
ar,gu,ANY,0,0,1,3,guado,ANY,ANY,ANY,ANY
ar,c,ANY,0,0,1,3,cado,ANY,ANY,ANY,ANY
ar,g,ANY,0,0,1,3,gado,ANY,ANY,ANY,ANY
ar,z,ANY,0,0,1,3,zado,ANY,ANY,ANY,ANY
ar,i,ANY,0,0,1,3,iado,ANY,ANY,ANY,ANY
ar,u,ANY,0,0,1,3,uado,ANY,ANY,ANY,ANY
ar,ANY,ANY,0,0,2,3,ando,ANY,ANY,ANY,ANY
ar,gu,ANY,0,0,2,3,guando,ANY,ANY,ANY,ANY
ar,c,ANY,0,0,2,3,cando,ANY,ANY,ANY,ANY
ar,g,ANY,0,0,2,3,gando,ANY,ANY,ANY,ANY
ar,z,ANY,0,0,2,3,zando,ANY,ANY,ANY,ANY
ar,i,ANY,0,0,2,3,iando,ANY,ANY,ANY,ANY
ar,u,ANY,0,0,2,3,uando,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,0,0,1,e,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,0,1,es,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,0,1,e,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,0,1,emos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,0,1,éis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,0,1,en,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,0,1,que,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,0,1,ques,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,0,1,que,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,0,1,quemos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,0,1,quéis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,0,1,quen,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,0,1,gue,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,0,1,gues,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,0,1,gue,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,0,1,guemos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,0,1,guéis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,0,1,guen,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,0,1,güe,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,0,1,gües,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,0,1,güe,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,0,1,güemos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,0,1,güéis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,0,1,güen,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,0,1,ce,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,0,1,ces,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,0,1,ce,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,0,1,cemos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,0,1,céis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,0,1,cen,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,0,1,ie,íe,ANY,ANY,ANY
ar,i,ANY,2,0,0,1,ies,íes,ANY,ANY,ANY
ar,i,ANY,3,0,0,1,ie,íe,ANY,ANY,ANY
ar,i,ANY,1,1,0,1,iemos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,0,1,iéis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,0,1,ien,íen,ANY,ANY,ANY
ar,u,ANY,1,0,0,1,ue,úe,ANY,ANY,ANY
ar,u,ANY,2,0,0,1,ues,úes,ANY,ANY,ANY
ar,u,ANY,3,0,0,1,ue,úe,ANY,ANY,ANY
ar,u,ANY,1,1,0,1,uemos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,0,1,uéis,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,0,1,uen,úen,ANY,ANY,ANY
ar,ANY,ANY,1,0,1,1,ara,ase,ANY,ANY,ANY
ar,ANY,ANY,2,0,1,1,aras,ases,ANY,ANY,ANY
ar,ANY,ANY,3,0,1,1,ara,ase,ANY,ANY,ANY
ar,ANY,ANY,1,1,1,1,áramos,ásemos,ANY,ANY,ANY
ar,ANY,ANY,2,1,1,1,arais,aseis,ANY,ANY,ANY
ar,ANY,ANY,3,1,1,1,aran,asen,ANY,ANY,ANY
ar,gu,ANY,1,0,1,1,guara,guase,ANY,ANY,ANY
ar,gu,ANY,2,0,1,1,guaras,guases,ANY,ANY,ANY
ar,gu,ANY,3,0,1,1,guara,guase,ANY,ANY,ANY
ar,gu,ANY,1,1,1,1,guáramos,guásemos,ANY,ANY,ANY
ar,gu,ANY,2,1,1,1,guarais,guaseis,ANY,ANY,ANY
ar,gu,ANY,3,1,1,1,guaran,guasen,ANY,ANY,ANY
ar,c,ANY,1,0,1,1,cara,case,ANY,ANY,ANY
ar,c,ANY,2,0,1,1,caras,cases,ANY,ANY,ANY
ar,c,ANY,3,0,1,1,cara,case,ANY,ANY,ANY
ar,c,ANY,1,1,1,1,cáramos,cásemos,ANY,ANY,ANY
ar,c,ANY,2,1,1,1,carais,caseis,ANY,ANY,ANY
ar,c,ANY,3,1,1,1,caran,casen,ANY,ANY,ANY
ar,g,ANY,1,0,1,1,gara,gase,ANY,ANY,ANY
ar,g,ANY,2,0,1,1,garas,gases,ANY,ANY,ANY
ar,g,ANY,3,0,1,1,gara,gase,ANY,ANY,ANY
ar,g,ANY,1,1,1,1,gáramos,gásemos,ANY,ANY,ANY
ar,g,ANY,2,1,1,1,garais,gaseis,ANY,ANY,ANY
ar,g,ANY,3,1,1,1,garan,gasen,ANY,ANY,ANY
ar,z,ANY,1,0,1,1,zara,zase,ANY,ANY,ANY
ar,z,ANY,2,0,1,1,zaras,zases,ANY,ANY,ANY
ar,z,ANY,3,0,1,1,zara,zase,ANY,ANY,ANY
ar,z,ANY,1,1,1,1,záramos,zásemos,ANY,ANY,ANY
ar,z,ANY,2,1,1,1,zarais,zaseis,ANY,ANY,ANY
ar,z,ANY,3,1,1,1,zaran,zasen,ANY,ANY,ANY
ar,i,ANY,1,0,1,1,iara,iase,ANY,ANY,ANY
ar,i,ANY,2,0,1,1,iaras,iases,ANY,ANY,ANY
ar,i,ANY,3,0,1,1,iara,iase,ANY,ANY,ANY
ar,i,ANY,1,1,1,1,iáramos,iásemos,ANY,ANY,ANY
ar,i,ANY,2,1,1,1,iarais,iaseis,ANY,ANY,ANY
ar,i,ANY,3,1,1,1,iaran,iasen,ANY,ANY,ANY
ar,u,ANY,1,0,1,1,uara,uase,ANY,ANY,ANY
ar,u,ANY,2,0,1,1,uaras,uases,ANY,ANY,ANY
ar,u,ANY,3,0,1,1,uara,uase,ANY,ANY,ANY
ar,u,ANY,1,1,1,1,uáramos,uásemos,ANY,ANY,ANY
ar,u,ANY,2,1,1,1,uarais,uaseis,ANY,ANY,ANY
ar,u,ANY,3,1,1,1,uaran,uasen,ANY,ANY,ANY
ar,ANY,ANY,1,0,2,1,are,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,2,1,ares,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,2,1,are,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,2,1,áremos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,2,1,areis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,2,1,aren,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,2,1,guare,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,2,1,guares,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,2,1,guare,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,2,1,guáremos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,2,1,guareis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,2,1,guaren,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,2,1,care,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,2,1,cares,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,2,1,care,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,2,1,cáremos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,2,1,careis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,2,1,caren,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,2,1,gare,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,2,1,gares,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,2,1,gare,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,2,1,gáremos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,2,1,gareis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,2,1,garen,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,2,1,zare,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,2,1,zares,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,2,1,zare,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,2,1,záremos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,2,1,zareis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,2,1,zaren,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,2,1,iare,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,2,1,iares,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,2,1,iare,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,2,1,iáremos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,2,1,iareis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,2,1,iaren,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,2,1,uare,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,2,1,uares,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,2,1,uare,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,2,1,uáremos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,2,1,uareis,ANY,ANY,ANY,ANY
